time, robotX, robotY, robotHeading, vl, vr, gyroHeading, camX, camZ, camAngle, tagID, camFX, camFY, xEst, yEst, headingEst, p00, p11, p22, X Error, Y Error, Theta Error, Pos Error, Cov1, Cov2, Cov, 
0.020000, 1.600000, 0.000000, 0.000000, 68.009690, 47.259329, -0.001103, -37.612537, 97.732008, -2.065930, 1.000000, 2.267992, 2.387463, 1.152690, 0.000000, 0.000000, 0.057645, 0.000255, 0.000533, -0.447310, 0.000000, -0.062867, 0.447310, 0.240093, 0.015963, 0.481246, 
0.040000, 3.200000, 0.000000, 0.000000, 79.097519, 89.216198, 0.001134, -46.514742, 95.043498, -2.096380, 1.000000, 4.956502, -6.514742, 2.835826, -0.001847, -0.001097, 0.141801, 0.001514, 0.000766, -0.364174, -0.001847, 0.064460, 0.364178, 0.376565, 0.038905, 0.757139, 
0.060000, 4.800000, 0.000000, 0.000000, 25.574749, 84.267169, -0.000073, -38.250656, 96.255095, -2.125792, 1.000000, 3.744905, 1.749344, 3.934245, -0.000611, 0.001125, 0.171140, 0.002605, 0.000103, -0.865755, -0.000611, -0.002227, 0.865755, 0.413690, 0.051043, 0.833655, 
0.080000, 6.400000, 0.000000, 0.000000, 104.191416, 76.025146, 0.000581, -35.800429, 97.370566, -2.154169, 1.000000, 2.629434, 4.199571, 5.736410, -0.000681, -0.000039, 0.261248, 0.005236, 0.000820, -0.663590, -0.000681, 0.033155, 0.663590, 0.511124, 0.072363, 1.032443, 
0.100000, 8.000000, 0.000000, 0.000000, 77.448762, 63.913714, 0.000848, -41.007530, 93.580998, -2.181522, 1.000000, 6.419002, -1.007530, 7.150035, 0.000137, 0.000579, 0.331929, 0.008084, 0.000644, -0.849965, 0.000137, 0.048516, 0.849965, 0.576133, 0.089910, 1.166213, 
0.120000, 9.600000, 0.000000, 0.000000, 40.222605, 85.107918, -0.001517, -43.314448, 94.123343, -2.207867, 1.000000, 5.876657, -3.314448, 8.403340, 0.001198, 0.000847, 0.354369, 0.010815, 0.000103, -1.196660, 0.001198, -0.083096, 1.196661, 0.595289, 0.103996, 1.208609, 
0.140000, 11.200000, 0.000000, 0.000000, 50.686648, 66.438722, -0.002464, -34.591384, 90.778437, -2.233223, 1.000000, 9.221563, 5.408616, 9.574592, -0.000500, -0.001450, 0.412931, 0.013600, 0.000534, -1.625408, -0.000500, -0.140851, 1.625408, 0.642597, 0.116618, 1.306187, 
0.160000, 12.800000, 0.000000, 0.000000, 54.225262, 91.747523, 0.000347, -40.593798, 85.809252, -2.257614, 1.000000, 14.190748, -0.593798, 11.034316, -0.004089, -0.002458, 0.431690, 0.017238, 0.000103, -1.765684, -0.004089, 0.015318, 1.765689, 0.657031, 0.131294, 1.340042, 
0.180000, 14.400000, 0.000000, 0.000000, 80.901040, 58.067694, 0.000510, -38.505039, 86.619879, -2.281067, 1.000000, 13.380121, 1.494961, 12.424003, -0.003717, 0.000267, 0.501174, 0.021103, 0.000633, -1.975997, -0.003717, 0.029152, 1.976001, 0.707937, 0.145270, 1.445376, 
0.200000, 16.000000, 0.000000, 0.000000, 72.182593, 59.536877, -0.003186, -33.493001, 84.487679, -2.303611, 1.000000, 15.512321, 6.506999, 13.741197, -0.003047, 0.000509, 0.567034, 0.025312, 0.000600, -2.258803, -0.003047, -0.181481, 2.258805, 0.753017, 0.159099, 1.539281, 
